iter	Accuracy	Logloss
0	1	0.4629533973
1	1	0.308350909
2	1	0.2130519338
3	1	0.1425215841
4	1	0.1073614992
5	1	0.08120852721
6	1	0.05699464722
7	1	0.04543369613
8	1	0.03445973332
9	1	0.02582885232
10	1	0.02290891302
11	1	0.02010133589
12	1	0.01710335731
13	1	0.01488531128
14	1	0.01335142073
15	1	0.01208355902
16	1	0.009891218809
17	1	0.008997633584
18	1	0.007866085533
19	1	0.006909423553
20	1	0.006129588005
21	1	0.005800693488
22	1	0.005501229634
23	1	0.005106510556
24	1	0.004821455093
25	1	0.004580689837
26	1	0.004169368941
27	1	0.003824008536
28	1	0.00352053919
29	1	0.003361028784
30	1	0.003262583626
31	1	0.003160173504
32	1	0.002983362602
33	1	0.00278721254
34	1	0.002719907384
35	1	0.002466572099
36	1	0.002354628751
37	1	0.002301195786
38	1	0.002233742872
39	1	0.002171769992
40	1	0.002057848646
41	1	0.001980460902
42	1	0.001918416484
43	1	0.001868868733
44	1	0.00181701226
45	1	0.001734766741
46	1	0.001660783866
47	1	0.001620261387
48	1	0.001567833917
49	1	0.001519258957
50	1	0.001481675928
51	1	0.001426364506
52	1	0.001393578486
53	1	0.001374895214
54	1	0.001328801885
55	1	0.001283548621
56	1	0.00126610924
57	1	0.001223014609
58	1	0.001183791789
59	1	0.001155881575
60	1	0.001126055179
61	1	0.001107198474
62	1	0.001094343963
63	1	0.001079721711
64	1	0.001067591661
65	1	0.001053265626
66	1	0.001038594074
67	1	0.001009189244
68	1	0.0009813854632
69	1	0.0009721670866
70	1	0.000953422824
71	1	0.000943737552
72	1	0.0009299148771
73	1	0.0009176411626
74	1	0.0009003796023
75	1	0.0008831769265
76	1	0.0008662078536
77	1	0.0008521193878
78	1	0.0008427647306
79	1	0.0008338548253
80	1	0.0008234275666
81	1	0.0008182116985
82	1	0.0008108058702
83	1	0.0007929129762
84	1	0.0007870512577
85	1	0.0007814054147
86	1	0.0007814054147
87	1	0.0007747973506
88	1	0.0007730653313
89	1	0.000766057502
90	1	0.0007609958267
91	1	0.0007535662279
92	1	0.0007484071486
93	1	0.0007479706062
94	1	0.0007433136739
95	1	0.0007386575658
96	1	0.000733659301
97	1	0.0007297330215
98	1	0.0007258324439
99	1	0.0007216388553
100	1	0.000715273045
101	1	0.0007098508047
102	1	0.0007048998319
103	1	0.0007010635257
104	1	0.000701055937
105	1	0.0007010423949
106	1	0.0006967747899
107	1	0.0006910830141
108	1	0.0006877117458
109	1	0.0006838752833
110	1	0.0006837768042
111	1	0.0006837719525
112	1	0.0006837645404
113	1	0.0006837486872
114	1	0.0006836610354
115	1	0.0006836464252
116	1	0.0006816744573
117	1	0.0006785590304
118	1	0.000678556646
119	1	0.0006735846919
120	1	0.0006735060364
121	1	0.000669797724
122	1	0.0006695010995
123	1	0.0006694870373
124	1	0.000665834811
125	1	0.0006658073857
126	1	0.00066227502
127	1	0.0006622682385
128	1	0.0006610918414
129	1	0.0006601152213
130	1	0.0006590183604
131	1	0.0006567963787
132	1	0.0006552206883
133	1	0.0006551992307
134	1	0.0006535890265
135	1	0.0006535363507
136	1	0.0006534740243
137	1	0.0006518796404
138	1	0.0006518646448
139	1	0.0006507287856
140	1	0.0006507182179
141	1	0.0006507076505
142	1	0.0006506136757
143	1	0.0006506004875
144	1	0.0006505259914
145	1	0.0006504961289
146	1	0.0006504829456
147	1	0.0006483310629
148	1	0.0006483292202
149	1	0.0006483255516
150	1	0.000648321883
151	1	0.0006483145459
152	1	0.0006483014528
153	1	0.0006465181893
154	1	0.0006461659817
155	1	0.0006461643574
156	1	0.0006428752389
157	1	0.0006428613828
158	1	0.0006428577663
159	1	0.0006427662755
160	1	0.0006427646866
161	1	0.0006426960825
162	1	0.0006426274978
163	1	0.000640023647
164	1	0.000638019168
165	1	0.0006380065035
166	1	0.0006379254842
167	1	0.0006347112972
168	1	0.0006343740538
169	1	0.0006343245592
170	1	0.0006342244838
171	1	0.0006341744578
