iter	Passed	Remaining
403	11543	17030
404	11591	17029
405	11634	17022
406	11677	17013
407	11722	17008
408	11775	17014
409	11830	17024
410	11867	17007
411	11937	17037
412	11985	17035
413	12036	17036
414	12084	17034
415	12136	17037
416	12210	17071
417	12252	17060
418	12331	17099
419	12375	17090
420	12416	17076
421	12449	17052
422	12488	17035
423	12529	17020
424	12566	17001
425	12613	16995
426	12659	16988
427	12700	16973
428	12763	16988
429	12801	16968
430	12847	16961
431	12886	16942
432	12927	16927
433	12963	16906
434	12993	16876
435	13026	16850
436	13056	16820
437	13089	16795
438	13116	16761
439	13145	16730
440	13195	16726
441	13242	16718
442	13276	16693
443	13311	16669
444	13343	16642
445	13370	16608
446	13394	16570
447	13423	16539
448	13456	16512
449	13483	16479
450	13508	16443
451	13534	16408
452	13560	16373
453	13593	16348
454	13623	16318
455	13655	16291
456	13686	16261
457	13711	16226
458	13737	16191
459	13764	16158
460	13792	16125
461	13836	16112
462	13865	16081
463	13902	16059
464	13933	16031
465	13958	15994
466	13986	15963
467	14015	15931
468	14039	15895
469	14073	15870
470	14103	15840
471	14132	15809
472	14177	15796
473	14223	15784
474	14267	15769
475	14301	15743
476	14332	15715
477	14366	15689
478	14397	15659
479	14435	15638
480	14493	15638
481	14537	15623
482	14583	15610
483	14631	15599
484	14670	15578
485	14714	15561
486	14747	15535
487	14780	15507
488	14806	15472
489	14832	15438
490	14861	15406
491	14910	15394
492	14937	15361
493	14963	15326
494	14990	15293
495	15015	15257
496	15044	15226
497	15073	15194
498	15097	15158
499	15125	15125
500	15150	15090
501	15177	15056
502	15223	15042
503	15249	15007
504	15276	14974
505	15302	14939
506	15327	14904
507	15356	14873
508	15389	14845
509	15413	14809
510	15441	14776
511	15471	14745
512	15495	14710
513	15523	14677
514	15547	14641
515	15577	14611
516	15603	14577
517	15631	14545
518	15657	14510
519	15686	14479
520	15709	14443
521	15736	14409
522	15759	14373
523	15793	14346
524	15819	14313
525	15843	14277
526	15870	14244
527	15895	14209
528	15923	14177
529	15949	14143
530	15973	14108
531	16005	14080
532	16033	14048
533	16057	14012
534	16084	13980
535	16110	13945
536	16139	13915
537	16166	13882
538	16198	13854
539	16224	13820
540	16250	13787
541	16274	13752
542	16302	13720
543	16326	13685
544	16352	13652
545	16376	13617
546	16403	13584
547	16430	13551
548	16453	13516
549	16496	13496
550	16541	13479
551	16587	13462
552	16622	13436
553	16666	13417
554	16703	13392
555	16736	13365
556	16762	13331
557	16785	13295
558	16811	13262
559	16835	13228
560	16861	13194
561	16884	13158
562	16909	13125
563	16934	13091
564	16959	13057
565	16984	13023
566	17010	12990
567	17035	12956
568	17066	12927
569	17091	12893
570	17115	12858
571	17142	12827
572	17166	12792
573	17191	12759
574	17215	12724
575	17284	12723
576	17328	12703
577	17380	12689
578	17409	12658
579	17432	12623
580	17464	12595
581	17492	12563
582	17516	12528
583	17541	12495
584	17565	12460
585	17592	12428
586	17616	12394
587	17641	12361
588	17665	12326
589	17694	12296
590	17718	12261
591	17742	12228
592	17765	12193
593	17792	12161
594	17816	12127
595	17842	12094
596	17875	12066
597	17905	12036
598	17930	12003
599	17958	11972
600	18021	11964
601	18088	11958
602	18124	11932
603	18148	11898
604	18174	11865
605	18197	11831
606	18226	11800
607	18252	11767
608	18275	11733
609	18302	11701
610	18327	11668
611	18353	11635
612	18384	11606
613	18408	11572
614	18435	11541
615	18459	11507
616	18485	11475
617	18510	11441
618	18537	11410
619	18561	11376
620	18587	11343
621	18610	11309
622	18638	11279
623	18662	11245
624	18693	11215
625	18719	11183
626	18744	11150
627	18775	11121
628	18800	11088
629	18823	11055
630	18850	11023
631	18875	10990
632	18902	10959
633	18926	10925
634	18953	10894
635	18982	10864
636	19005	10830
637	19031	10798
638	19054	10764
639	19082	10733
640	19105	10700
641	19132	10669
642	19156	10635
643	19208	10618
644	19234	10586
645	19258	10553
646	19286	10522
647	19312	10490
648	19337	10458
649	19364	10426
650	19389	10394
651	19416	10363
652	19439	10330
653	19465	10298
654	19492	10267
655	19517	10234
656	19543	10203
657	19568	10170
658	19601	10142
659	19628	10111
660	19652	10078
661	19686	10051
662	19713	10020
663	19738	9987
664	19765	9956
665	19791	9925
666	19820	9895
667	19847	9864
668	19876	9834
669	19902	9802
670	19929	9771
671	19952	9738
672	20015	9725
673	20042	9693
674	20066	9661
675	20093	9630
676	20119	9598
677	20146	9568
678	20172	9536
679	20197	9504
680	20226	9474
681	20250	9442
682	20277	9411
683	20300	9378
684	20328	9348
685	20352	9315
686	20377	9284
687	20407	9254
688	20439	9225
689	20462	9193
690	20489	9162
691	20512	9129
692	20539	9099
693	20563	9066
694	20592	9036
695	20616	9004
696	20642	8973
697	20666	8941
698	20691	8910
699	20714	8877
700	20741	8846
701	20764	8814
702	20790	8783
703	20813	8751
704	20842	8721
705	20875	8693
706	20898	8661
707	20923	8629
708	20951	8599
709	20978	8568
710	21004	8537
711	21027	8505
712	21053	8474
713	21078	8443
714	21105	8412
715	21128	8380
716	21157	8350
717	21183	8320
718	21207	8288
719	21233	8257
720	21257	8225
721	21289	8197
722	21315	8166
723	21338	8134
724	21363	8103
725	21389	8072
726	21416	8042
727	21439	8010
728	21465	7979
729	21490	7948
730	21515	7917
731	21543	7887
732	21569	7856
733	21597	7826
734	21620	7795
735	21646	7764
736	21669	7732
737	21703	7704
738	21728	7674
739	21752	7642
740	21775	7611
741	21803	7581
742	21829	7550
743	21852	7519
744	21878	7488
745	21902	7457
746	21929	7427
747	21953	7395
748	21982	7366
749	22009	7336
750	22033	7305
751	22059	7274
752	22082	7243
753	22114	7215
754	22138	7184
755	22164	7153
756	22188	7122
757	22217	7093
758	22248	7064
759	22275	7034
760	22304	7004
761	22333	6975
762	22359	6945
763	22383	6914
764	22411	6884
765	22439	6854
766	22466	6824
767	22492	6794
768	22515	6763
769	22542	6733
770	22578	6706
771	22602	6675
772	22629	6645
773	22656	6615
774	22679	6584
775	22706	6554
776	22731	6524
777	22758	6493
778	22781	6463
779	22807	6432
780	22831	6402
781	22859	6372
782	22882	6341
783	22909	6311
784	22932	6280
785	22965	6252
786	22997	6224
787	23022	6193
788	23047	6163
789	23074	6133
790	23097	6102
791	23124	6073
792	23148	6042
793	23176	6013
794	23202	5983
795	23225	5952
796	23251	5922
797	23277	5892
798	23303	5862
799	23326	5831
800	23353	5801
801	23389	5774
802	23412	5743
803	23438	5713
804	23462	5683
805	23489	5653
806	23516	5624
807	23542	5594
808	23568	5564
809	23599	5535
810	23625	5505
811	23652	5476
812	23675	5445
813	23703	5416
814	23726	5385
815	23753	5356
816	23776	5325
817	23810	5297
818	23837	5268
819	23867	5239
820	23900	5210
821	23927	5181
822	23958	5152
823	23985	5123
824	24015	5094
825	24042	5064
826	24074	5036
827	24103	5007
828	24131	4977
829	24154	4947
830	24181	4917
831	24213	4889
832	24239	4859
833	24265	4829
834	24288	4799
835	24314	4769
836	24338	4739
837	24363	4709
838	24387	4679
839	24412	4650
840	24437	4620
841	24462	4590
842	24485	4560
843	24510	4530
844	24534	4500
845	24564	4471
846	24588	4441
847	24613	4411
848	24637	4382
849	24668	4353
850	24693	4323
851	24717	4293
852	24744	4264
853	24768	4234
854	24794	4204
855	24817	4174
856	24842	4145
857	24867	4115
858	24891	4085
859	24915	4056
860	24941	4026
861	24971	3997
862	24994	3967
863	25017	3937
864	25041	3908
865	25074	3879
866	25097	3850
867	25120	3820
868	25144	3790
869	25169	3760
870	25192	3731
871	25215	3701
872	25240	3671
873	25265	3642
874	25288	3612
875	25311	3582
876	25334	3553
877	25361	3523
878	25383	3494
879	25407	3464
880	25430	3435
881	25465	3406
882	25493	3377
883	25516	3348
884	25541	3318
885	25564	3289
886	25592	3260
887	25616	3230
888	25641	3201
889	25664	3172
890	25691	3142
891	25714	3113
892	25739	3084
893	25762	3054
894	25787	3025
895	25812	2996
896	25837	2966
897	25863	2937
898	25893	2909
899	25918	2879
900	25943	2850
901	25966	2821
902	25990	2791
903	26015	2762
904	26040	2733
905	26063	2704
906	26086	2674
907	26111	2645
908	26136	2616
909	26160	2587
910	26183	2558
911	26206	2528
912	26233	2499
913	26257	2470
914	26284	2441
915	26310	2412
916	26338	2383
917	26362	2354
918	26385	2325
919	26428	2298
920	26456	2269
921	26482	2240
922	26505	2211
923	26529	2182
924	26555	2153
925	26579	2124
926	26603	2095
927	26629	2066
928	26654	2037
929	26679	2008
930	26711	1979
931	26735	1950
932	26762	1921
933	26785	1892
934	26808	1863
935	26833	1834
936	26859	1805
937	26887	1777
938	26912	1748
939	26936	1719
940	26960	1690
941	26987	1661
942	27012	1632
943	27035	1603
944	27059	1574
945	27085	1546
946	27110	1517
947	27134	1488
948	27159	1459
949	27189	1431
950	27214	1402
951	27237	1373
952	27263	1344
953	27287	1315
954	27314	1287
955	27341	1258
956	27364	1229
957	27393	1200
958	27416	1172
959	27442	1143
960	27465	1114
961	27493	1086
962	27522	1057
963	27545	1028
964	27568	999
965	27600	971
966	27625	942
967	27649	914
968	27673	885
969	27699	856
970	27726	828
971	27749	799
972	27774	770
973	27806	742
974	27831	713
975	27856	684
976	27878	656
977	27906	627
978	27929	599
979	27958	570
980	27981	541
981	28014	513
982	28040	484
983	28070	456
984	28094	427
985	28124	399
986	28153	370
987	28177	342
988	28207	313
989	28233	285
990	28257	256
991	28280	228
992	28309	199
993	28334	171
994	28357	142
995	28380	113
996	28411	85
997	28439	56
998	28462	28
999	28489	0
